,KIND,NOT_EXPOSED,EXPOSED,RR/DIFF,LCI,UCI
TOTAL,-,183.53, 576.22,-,-,-
DIED,categorical,2.5 (1.4%),1.3 (0.2%),0.17018743035370357,0.16983320027209098,0.17054239927171871
ADMITHOS,categorical,28.0 (15.3%),72.8 (12.6%),0.828009376512397,0.8276758979140182,0.8283429894725179
HTN_COMPLICATION,categorical,2.6 (1.4%),7.7 (1.3%),0.9445224722692184,0.9432006070837384,0.9458461900060596
ANTIHYPERTENSIVE_GIVEN,categorical,5.3 (2.9%),34.6 (6.0%),2.084946958254061,2.0830704512261486,2.0868251557090174
ANTIHYPERTENSIVE_RX,categorical,3.1 (1.7%),22.7 (3.9%),2.344853101429071,2.3420948201439202,2.3476146311376342
TYLENOL_GIVEN,categorical,16.3 (8.9%),52.5 (9.1%),1.0266850068763025,1.026140287031565,1.0272300158819987
CBC,categorical,84.8 (46.2%),286.7 (49.8%),1.0769147897738813,1.0767248600496098,1.0771047530009552
TROPONIN,categorical,11.5 (6.2%),44.2 (7.7%),1.2283430883220998,1.227571829565893,1.229114831644712
XRAY,categorical,62.8 (34.2%),226.9 (39.4%),1.150233510190945,1.1499751136130612,1.1504919648299041
CATSCAN,categorical,37.6 (20.5%),141.4 (24.5%),1.1978005357969812,1.19741846930473,1.1981827241971603
BPSYS,numeric,110,145,35.85832261592989,35.85602909317177,35.860616138688016
ED_LOS,numeric,290,263,-24.14367376518254,-24.22921772489123,-24.05812980547385
HOSP_LOS,numeric,6,5,-0.7619633471859855,-0.7651134407768935,-0.7588132535950775
