,n_total,n_nohtn,n_htn,proportion_total,proportion_nohtn,proportion_htn,p_value
TOTALS,759.7455974540201,624.0782548648599,135.66734258916,1.0,0.8214305643312784,0.1785694356687215,
AGE_BIN_Age 26-44,252.10170402341936,222.1239191385715,29.97778488484982,0.3318238432288805,0.355923183362095,0.2209653724524643,0.0
AGE_BIN_Age 45-65,229.8849756421839,176.58995916034394,53.29501648184016,0.302581517303353,0.28296124369623427,0.3928360021264136,0.0
AGE_BIN_Age 18-25,115.12059593776966,109.63715547495815,5.483440462810007,0.1515251899103433,0.17567853810047357,0.04041827869670486,0.0
AGE_BIN_Age over 65,162.63832185065138,115.7272210909887,46.911100759660016,0.2140694495574111,0.18543703484115726,0.34578034672441693,0.0
SEX_Male,329.30465910315337,267.7382955389995,61.56636356416016,0.4334406941042881,0.4290139793397621,0.4538038586824902,0.0
SEX_Female,430.4409383508543,356.33995932586146,74.10097902499918,0.5665593058956779,0.5709860206601958,0.5461961413175047,0.0
HX_HTN,249.92956548179922,169.3416247009518,80.58794078084908,0.3289648091668219,0.2713467796400216,0.5940113460089853,0.0
VDAYR_Monday,124.45048701306087,101.90827734981865,22.542209663239962,0.16380547308217924,0.16329406858100154,0.1661579657493867,0.0
VDAYR_Tuesday,114.68131927544869,94.54168683290835,20.139632442539956,0.15094700075887862,0.1514901153756376,0.14844863957812302,0.0
VDAYR_Wednesday,109.99616659084825,89.88528435270851,20.110882238139993,0.14478026191853424,0.14402886761720074,0.14823672266539167,0.0
VDAYR_Thursday,108.846673285398,89.33590366833819,19.510769617060042,0.14326726426602754,0.14314856025175784,0.14381331015043392,0.0
VDAYR_Friday,105.76742383353792,86.15091271764894,19.616511115889974,0.13921426354818348,0.13804504811067417,0.1445927276344938,0.0
VDAYR_Saturday,98.7029936765482,81.59174937426877,17.111244302280067,0.12991584815668508,0.130739612762078,0.12612647948812464,0.0
VDAYR_Sunday,97.30053377916862,80.66444056915947,16.636093210010035,0.1280698882694816,0.12925372730159185,0.12262415473404635,0.0
VTIMER_7a-3p,321.8546065006979,264.83574191723966,57.018864583470084,0.4236347108548673,0.4243630343675034,0.42028437717793077,0.0
VTIMER_3p-11p,306.9247008530134,252.4915010683109,54.433199784720166,0.40398352011718386,0.40458307768306273,0.40122551784300553,0.0
VTIMER_11p-7a,130.96629010028116,106.75101187930869,24.215278220970028,0.17238176902789482,0.17105388794938906,0.1784901049790656,0.0
ANTIHYPERTENSIVE_RX,25.822318085909963,15.041650323050002,10.780667762859995,0.033988111510540576,0.024102186233530144,0.07946398563659478,0.0
ANTIHYPERTENSIVE_GIVEN,39.8577905500599,20.50895254251005,19.348838007550047,0.05246202239753208,0.032862789854695755,0.14261971700989182,0.0
TYLENOL_GIVEN,68.7396046710302,55.79480700606016,12.944797664969945,0.09047713458476357,0.08940354285880338,0.09541572362164223,0.0
NO_TRIAGE_BP,36.83374513489004,36.38833147305,0.44541366184000003,0.04848168289269826,0.05830732154083475,0.0032831310272571747,0.0
DIED,3.8739392361999987,3.440439510129998,0.43349972607,0.005098995307352711,0.005512833500143107,0.0031953137564046095,0.0
PAYTYPER_Self-pay,68.88008342838069,58.55375331847032,10.326330109909987,0.09066203694921457,0.09382437677010104,0.0761150761328104,0.0
PAYTYPER_Medicaid or CHIP or other state-based program,199.01668347075028,173.31631457135174,25.700368899399898,0.26195174297510987,0.2777156762317807,0.18943666477811136,0.0
PAYTYPER_Private insurance,189.6499180319098,157.24685779688588,32.40306023502987,0.24962292465720287,0.2519665708123892,0.23884200586987034,0.0
PAYTYPER_Unknown,73.76859202908693,61.536375386859085,12.23221664222996,0.09709643896100381,0.09860362047093227,0.09016330981931776,0.0
PAYTYPER_Medicare,185.72311287152155,136.6577871061803,49.065325765340006,0.24445434563081925,0.21897540258916195,0.36165907600861624,0.0
PAYTYPER_Worker's compensation,5.759346637010002,4.838817941410004,0.9205286956000003,0.007580625220218478,0.007753543571963755,0.0067851899951164195,0.0
PAYTYPER_Blank,14.7924637369999,13.06993970657997,1.7225240304200065,0.019470285562128424,0.0209427897939011,0.012696674067216808,0.0
PAYTYPER_Other,18.79234196429987,15.812075264789911,2.9802666995100027,0.02473504555640002,0.02533668677209915,0.02196745836273297,0.0
PAYTYPER_No charge,3.3630552840599925,3.0463337723399957,0.31672151171999985,0.004426554487883644,0.004881332987638747,0.0023345449662054945,0.0
ADMITHOS,100.84356135246867,78.7311503420598,22.112411010409982,0.13273332769601204,0.12615589427820245,0.16298993249519717,0.0
ARREMS_No,590.6470064487994,487.7242696245079,102.92273682424852,0.777427349928849,0.7815113983263205,0.7586404720547107,0.0
ARREMS_Yes,146.06169810754236,116.86295169556968,29.198746411969935,0.19225079894770888,0.1872568877133373,0.21522310273587497,0.0
ARREMS_Unknown,23.03689289770998,19.49103354476991,3.5458593529399987,0.030321851123466064,0.031231713960278448,0.02613642520940273,0.0
RACERETH_Non-Hispanic Black,173.55346664767845,141.41915287481405,32.134313772859805,0.2284362913444574,0.22660483965337205,0.23686108358569244,0.0
RACERETH_Non-Hispanic White,461.4241597912567,375.9420714407077,85.4820883505596,0.6073403535835218,0.6023957228282197,0.6300859640880864,0.0
RACERETH_Non-Hispanic Other,24.239013831639852,19.87046586218994,4.368547969450008,0.03190411884302676,0.031839702324657805,0.03220043885343311,0.0
RACERETH_Hispanic,100.52895718344871,86.84656468715876,13.682392496289959,0.1323192362289812,0.13915973519372346,0.10085251347278323,0.0
REGION_Northeast,125.78827120472839,106.0340832341535,19.754187970570143,0.1655663048608043,0.16990510790527358,0.14560753968913168,0.0
REGION_Midwest,167.3010437573245,136.26048567496957,31.04055808235002,0.22020666433338118,0.2183387814152729,0.22879904249580396,0.0
REGION_South,298.16875182830006,242.97021648868585,55.19853533962059,0.39245867673006163,0.38932652210625224,0.4068667837533881,0.0
REGION_West,168.48753066367289,138.81346946705844,29.674061196619864,0.22176835407574286,0.22242958857316944,0.21872663406168064,0.0
IMMEDR_Semi-urgent,142.6389233669315,122.03086111744932,20.608062249479975,0.18774563991542118,0.19553775534747475,0.15190142193532272,0.0
IMMEDR_Urgent,274.1600370105339,220.06980066872163,54.0902363418205,0.3608576843739082,0.35263173961471656,0.39869754437235044,0.0
IMMEDR_Nonurgent,20.46138969951987,17.547109439069963,2.914280260450002,0.026931896371742824,0.028116841601649633,0.021481074257312507,0.0
IMMEDR_Emergent,80.22678162069028,60.23257497243028,19.99420664825994,0.10559690229142024,0.09651445872836992,0.14737671031714822,0.0
IMMEDR_Immediate,8.841727630330006,7.170123006820011,1.6716046235099982,0.011637747767093776,0.01148914090649151,0.012321348613513429,0.0
IMMEDR_Unknown,233.4167381260145,197.0277856603737,36.388952465639726,0.3072301292803961,0.3157100638012618,0.2682219005043535,0.0
CHEST_PAIN_VISIT,63.83318484201981,49.123895211639955,14.709289630379965,0.08401915727571146,0.07871431960447856,0.10842174210579145,0.0
DYSPNEA_VISIT,64.50477571239036,50.21905789583041,14.28571781655997,0.08490312537321817,0.08046916793584295,0.10529960669916899,0.0
ABDOMINAL_PAIN_VISIT,102.31959241135803,85.6295277765188,16.690064634840017,0.1346761241581905,0.13720960009263192,0.1230219765222524,0.0
ATTPHYS_Yes,640.1069316541272,521.4900189659054,118.61691268816938,0.8425279906842174,0.8356163908944526,0.874321781678703,0.0
ATTPHYS_No,119.63866579993984,102.58823589894794,17.050429900990093,0.15747200931582664,0.16438360910549313,0.1256782183212929,0.0
RESINT_Yes,76.61284209580126,63.42327783839018,13.18956425740994,0.10084012642197182,0.10162712343201463,0.09721989098991757,0.0
RESINT_No,683.1327553582387,560.6549770265203,122.47777833174877,0.8991598735780367,0.8983728765680228,0.9027801090100728,0.0
MIDLEVEL,194.81798140486697,163.07955782060498,31.738423584260055,0.25642528506610257,0.26131267441117884,0.2339429886260335,0.0
XRAY,289.71154101729536,229.49618542571113,60.215355591590196,0.3813270415625194,0.36773623121253757,0.4438456185726267,0.0
CATSCAN,178.94430002083166,138.5065654945913,40.437734526239716,0.23553186832603956,0.2219378169562693,0.29806535422969754,0.0
